YEAR ,LocationAbbr ,LocationDesc ,DataSource ,Topic ,Subtopic ,ShortQuestionText ,Greater_Risk_Question ,Description ,Data_Value_Symbol ,Data_Value_Type ,Greater_Risk_Data_Value ,Greater_Risk_Data_Value_Footnote_Symbol ,Greater_Risk_Data_Value_Footnote ,Greater_Risk_Low_Confidence_Limit ,Greater_Risk_High_Confidence_Limit ,Lesser_Risk_Question ,Lesser_Risk_Data_Value ,Lesser_Risk_Data_Value_Footnote_Symbol ,Lesser_Risk_Data_Value_Footnote ,Lesser_Risk_Low_Confidence_Limit ,Lesser_Risk_High_Confidence_Limit ,Sample_Size ,Sex ,Race ,Grade ,SexualIdentity ,SexOfSexualContacts ,GeoLocation ,TopicId ,SubTopicID ,QuestionCode ,LocationId ,StratID1 ,StratID2 ,StratID3 ,StratID4 ,StratID5 ,StratificationType ,StratID6 
2017,AR,Arkansas,YRBSS,Tobacco Use,Other Tobacco Use,Current cigar use,Currently smoked cigars,"cigars, cigarillos, or little cigars, on at least 1 day during the 30 days before the survey",%,Percentage,14.0549,,,10.846,18.0212,Did not currently smoke cigars,85.9451,,,81.9788,89.154,1584,Total,Total,Total,Total,Total,"(34.748650124, -92.274490743)",C02,C13,H38,05,S1,R1,G1,AR,I1,State,P1
2015,NYC,"New York City, NY",YRBSS,Tobacco Use,Other Tobacco Use,Current daily cigar use,Currently smoked cigars daily,"cigars, cigarillos, or little cigars, on all 30 days during the 30 days before the survey",%,Percentage,0.537,,,0.2905,0.9905,Did not currently smoke cigars daily,99.463,,,99.0095,99.7095,8108,Total,Total,Total,Total,Total,"(40.712784, -74.005941)",C02,C13,QNDAYCGR,121,S1,R1,G1,NYC,I1,Local,P1
2017,PR,Puerto Rico,YRBSS,Tobacco Use,Other Tobacco Use,Current cigar use,Currently smoked cigars,"cigars, cigarillos, or little cigars, on at least 1 day during the 30 days before the survey",%,Percentage,7.6405,,,4.3837,12.9882,Did not currently smoke cigars,92.3595,,,87.0118,95.6163,1704,Total,Total,Total,Total,Total,"(18.220833, -66.590149)",C02,C13,H38,72,S1,R1,G1,PR,I1,Territory,P1
2017,WI,Wisconsin,YRBSS,Tobacco Use,Other Tobacco Use,Current daily cigar use,Currently smoked cigars daily,"cigars, cigarillos, or little cigars, on all 30 days during the 30 days before the survey",%,Percentage,0.2659,,,0.1147,0.6147,Did not currently smoke cigars daily,99.7341,,,99.3853,99.8853,2024,Total,Total,Total,Total,Total,"(44.393191174, -89.816370742)",C02,C13,QNDAYCGR,55,S1,R1,G1,WI,I1,State,P1
2017,MO,Missouri,YRBSS,Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,0.818,,,0.3068,2.1625,Did not currently frequently smoke cigars,99.182,,,97.8375,99.6932,1789,Total,Total,Total,Total,Total,"(38.635790776, -92.566300053)",C02,C13,QNFRCGR,29,S1,R1,G1,MO,I1,State,P1
2017,XX,United States,YRBSS,Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,1.2795,,,1.0193,1.6051,Did not currently frequently smoke cigars,98.7205,,,98.3949,98.9807,14411,Total,Total,Total,Total,Total,,C02,C13,QNFRCGR,59,S1,R1,G1,XX,I1,National,P1
2017,VT,Vermont,YRBSS,Tobacco Use,Other Tobacco Use,Current daily cigar use,Currently smoked cigars daily,"cigars, cigarillos, or little cigars, on all 30 days during the 30 days before the survey",%,Percentage,1.092,,,0.9544,1.2492,Did not currently smoke cigars daily,98.908,,,98.7508,99.0456,20421,Total,Total,Total,Total,Total,"(43.625381239, -72.517640791)",C02,C13,QNDAYCGR,50,S1,R1,G1,VT,I1,State,P1
2015,PH,"Philadelphia, PA",YRBSS,Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,1.5533,,,1.1449,2.1044,Did not currently frequently smoke cigars,98.4467,,,97.8956,98.8551,1646,Total,Total,Total,Total,Total,"(39.952584, -75.165222)",C02,C13,QNFRCGR,124,S1,R1,G1,PH,I1,Local,P1
2017,ID,Idaho,YRBSS,Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,0.7526,,,0.4035,1.3995,Did not currently frequently smoke cigars,99.2474,,,98.6005,99.5965,1801,Total,Total,Total,Total,Total,"(43.682630005, -114.363730042)",C02,C13,QNFRCGR,16,S1,R1,G1,ID,I1,State,P1
2017,UT,Utah,YRBSS,Tobacco Use,Other Tobacco Use,Current daily cigar use,Currently smoked cigars daily,"cigars, cigarillos, or little cigars, on all 30 days during the 30 days before the survey",%,Percentage,0.2596,,,0.0993,0.6766,Did not currently smoke cigars daily,99.7404,,,99.3234,99.9007,1828,Total,Total,Total,Total,Total,"(39.360700171, -111.587130635)",C02,C13,QNDAYCGR,49,S1,R1,G1,UT,I1,State,P1
2015,NYH,"Borough of Brooklyn, NY",YRBSS,Tobacco Use,Other Tobacco Use,Current daily cigar use,Currently smoked cigars daily,"cigars, cigarillos, or little cigars, on all 30 days during the 30 days before the survey",%,Percentage,0.0464,,,0.0145,0.1481,Did not currently smoke cigars daily,99.9536,,,99.8519,99.9855,2204,Total,Total,Total,Total,Total,"(40.678178, -73.944158)",C02,C13,QNDAYCGR,117,S1,R1,G1,NYH,I1,Local,P1
2017,DE,Delaware,YRBSS,Tobacco Use,Other Tobacco Use,Current cigar use,Currently smoked cigars,"cigars, cigarillos, or little cigars, on at least 1 day during the 30 days before the survey",%,Percentage,7.3404,,,5.9186,9.071,Did not currently smoke cigars,92.6596,,,90.929,94.0814,2832,Total,Total,Total,Total,Total,"(39.008830667, -75.577741168)",C02,C13,H38,10,S1,R1,G1,DE,I1,State,P1
2017,MI,Michigan,YRBSS,Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,1.7695,,,1.0928,2.8531,Did not currently frequently smoke cigars,98.2305,,,97.1469,98.9072,1604,Total,Total,Total,Total,Total,"(44.661319543001, -84.71439027)",C02,C13,QNFRCGR,26,S1,R1,G1,MI,I1,State,P1
2015,GU,Guam,YRBSS,Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,1.1685,,,0.6391,2.1271,Did not currently frequently smoke cigars,98.8315,,,97.8729,99.3609,1284,Total,Total,Total,Total,Total,"(13.444304, 144.793731)",C02,C13,QNFRCGR,66,S1,R1,G1,GU,I1,Territory,P1
2017,OK,Oklahoma,YRBSS,Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,0.7434,,,0.3792,1.4521,Did not currently frequently smoke cigars,99.2566,,,98.5479,99.6208,1631,Total,Total,Total,Total,Total,"(35.472031356, -97.521070214)",C02,C13,QNFRCGR,40,S1,R1,G1,OK,I1,State,P1
2015,IL,Illinois,YRBSS,Tobacco Use,Other Tobacco Use,Current daily cigar use,Currently smoked cigars daily,"cigars, cigarillos, or little cigars, on all 30 days during the 30 days before the survey",%,Percentage,1.1272,,,0.7694,1.6486,Did not currently smoke cigars daily,98.8728,,,98.3514,99.2306,3232,Total,Total,Total,Total,Total,"(40.485010283, -88.997710178)",C02,C13,QNDAYCGR,17,S1,R1,G1,IL,I1,State,P1
2017,NE,Nebraska,YRBSS,Tobacco Use,Other Tobacco Use,Current cigar use,Currently smoked cigars,"cigars, cigarillos, or little cigars, on at least 1 day during the 30 days before the survey",%,Percentage,6.7206,,,4.7971,9.3398,Did not currently smoke cigars,93.2794,,,90.6602,95.2029,1405,Total,Total,Total,Total,Total,"(41.641040988001, -99.365720623)",C02,C13,H38,31,S1,R1,G1,NE,I1,State,P1
2015,IL,Illinois,YRBSS,Tobacco Use,Other Tobacco Use,Current cigar use,Currently smoked cigars,"cigars, cigarillos, or little cigars, on at least 1 day during the 30 days before the survey",%,Percentage,9.3629,,,7.9489,10.9985,Did not currently smoke cigars,90.6371,,,89.0015,92.0511,3232,Total,Total,Total,Total,Total,"(40.485010283, -88.997710178)",C02,C13,H38,17,S1,R1,G1,IL,I1,State,P1
2017,ME,Maine,YRBSS,Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,1.0954,,,0.8913,1.3455,Did not currently frequently smoke cigars,98.9046,,,98.6545,99.1087,9348,Total,Total,Total,Total,Total,"(45.254228894001, -68.985031336)",C02,C13,QNFRCGR,23,S1,R1,G1,ME,I1,State,P1
2017,NYJ,"Borough of Queens, NY",YRBSS,Tobacco Use,Other Tobacco Use,Current cigar use,Currently smoked cigars,"cigars, cigarillos, or little cigars, on at least 1 day during the 30 days before the survey",%,Percentage,6.5175,,,4.3011,9.7594,Did not currently smoke cigars,93.4825,,,90.2406,95.6989,1437,Total,Total,Total,Total,Total,"(40.728224, -73.794852)",C02,C13,H38,119,S1,R1,G1,NYJ,I1,Local,P1
2015,HO,"Houston, TX",YRBSS,Tobacco Use,Other Tobacco Use,Current daily cigar use,Currently smoked cigars daily,"cigars, cigarillos, or little cigars, on all 30 days during the 30 days before the survey",%,Percentage,0.9279,,,0.5944,1.4457,Did not currently smoke cigars daily,99.0721,,,98.5543,99.4056,3046,Total,Total,Total,Total,Total,"(29.760427, -95.369803)",C02,C13,QNDAYCGR,128,S1,R1,G1,HO,I1,Local,P1
2015,PR,Puerto Rico,YRBSS,Tobacco Use,Other Tobacco Use,Current cigar use,Currently smoked cigars,"cigars, cigarillos, or little cigars, on at least 1 day during the 30 days before the survey",%,Percentage,6.1731,,,5.0831,7.4783,Did not currently smoke cigars,93.8269,,,92.5217,94.9169,1608,Total,Total,Total,Total,Total,"(18.220833, -66.590149)",C02,C13,H38,72,S1,R1,G1,PR,I1,Territory,P1
2017,MM,"Miami-Dade County, FL",YRBSS,Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,0.6829,,,0.3822,1.2171,Did not currently frequently smoke cigars,99.3171,,,98.7829,99.6178,2820,Total,Total,Total,Total,Total,"(25.551603, -80.632692)",C02,C13,QNFRCGR,108,S1,R1,G1,MM,I1,Local,P1
2015,GU,Guam,YRBSS,Tobacco Use,Other Tobacco Use,Current cigar use,Currently smoked cigars,"cigars, cigarillos, or little cigars, on at least 1 day during the 30 days before the survey",%,Percentage,8.9783,,,7.0917,11.3057,Did not currently smoke cigars,91.0217,,,88.6943,92.9083,1284,Total,Total,Total,Total,Total,"(13.444304, 144.793731)",C02,C13,H38,66,S1,R1,G1,GU,I1,Territory,P1
2017,NYC,"New York City, NY",YRBSS,Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,1.0803,,,0.813,1.4342,Did not currently frequently smoke cigars,98.9197,,,98.5658,99.187,9535,Total,Total,Total,Total,Total,"(40.712784, -74.005941)",C02,C13,QNFRCGR,121,S1,R1,G1,NYC,I1,Local,P1
2015,AZB,Arizona,YRBSS,Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,0.6126,,,0.266,1.4043,Did not currently frequently smoke cigars,99.3874,,,98.5957,99.734,2561,Total,Total,Total,Total,Total,"(34.86597028, -111.763811277)",C02,C13,QNFRCGR,04,S1,R1,G1,AZB,I1,State,P1
2017,MO,Missouri,YRBSS,Tobacco Use,Other Tobacco Use,Current cigar use,Currently smoked cigars,"cigars, cigarillos, or little cigars, on at least 1 day during the 30 days before the survey",%,Percentage,9.2165,,,7.1711,11.7713,Did not currently smoke cigars,90.7835,,,88.2287,92.8289,1789,Total,Total,Total,Total,Total,"(38.635790776, -92.566300053)",C02,C13,H38,29,S1,R1,G1,MO,I1,State,P1
2017,NE,Nebraska,YRBSS,Tobacco Use,Other Tobacco Use,Current daily cigar use,Currently smoked cigars daily,"cigars, cigarillos, or little cigars, on all 30 days during the 30 days before the survey",%,Percentage,0.4273,,,0.1479,1.2276,Did not currently smoke cigars daily,99.5727,,,98.7724,99.8521,1405,Total,Total,Total,Total,Total,"(41.641040988001, -99.365720623)",C02,C13,QNDAYCGR,31,S1,R1,G1,NE,I1,State,P1
2017,PA,Pennsylvania,YRBSS,Tobacco Use,Other Tobacco Use,Current cigar use,Currently smoked cigars,"cigars, cigarillos, or little cigars, on at least 1 day during the 30 days before the survey",%,Percentage,7.5915,,,6.4198,8.9567,Did not currently smoke cigars,92.4085,,,91.0433,93.5802,3683,Total,Total,Total,Total,Total,"(40.793730152, -77.860700294)",C02,C13,H38,42,S1,R1,G1,PA,I1,State,P1
2015,ND,North Dakota,YRBSS,Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,1.0322,,,0.5363,1.9776,Did not currently frequently smoke cigars,98.9678,,,98.0224,99.4637,2116,Total,Total,Total,Total,Total,"(47.475319779, -100.118421049)",C02,C13,QNFRCGR,38,S1,R1,G1,ND,I1,State,P1
2015,MM,"Miami-Dade County, FL",YRBSS,Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,1.5592,,,1.0474,2.3152,Did not currently frequently smoke cigars,98.4408,,,97.6848,98.9526,2700,Total,Total,Total,Total,Total,"(25.551603, -80.632692)",C02,C13,QNFRCGR,108,S1,R1,G1,MM,I1,Local,P1
2017,LA,Louisiana,YRBSS,Tobacco Use,Other Tobacco Use,Current cigar use,Currently smoked cigars,"cigars, cigarillos, or little cigars, on at least 1 day during the 30 days before the survey",%,Percentage,11.0369,,,8.4552,14.2838,Did not currently smoke cigars,88.9631,,,85.7162,91.5448,1180,Total,Total,Total,Total,Total,"(31.312660644, -92.445680071)",C02,C13,H38,22,S1,R1,G1,LA,I1,State,P1
2017,TX,Texas,YRBSS,Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,1.1508,,,0.6933,1.9044,Did not currently frequently smoke cigars,98.8492,,,98.0956,99.3067,2075,Total,Total,Total,Total,Total,"(31.827240407, -99.426770206)",C02,C13,QNFRCGR,48,S1,R1,G1,TX,I1,State,P1
2015,BA,"Baltimore, MD",YRBSS,Tobacco Use,Other Tobacco Use,Current cigar use,Currently smoked cigars,"cigars, cigarillos, or little cigars, on at least 1 day during the 30 days before the survey",%,Percentage,14.9153,,,11.5845,18.9979,Did not currently smoke cigars,85.0847,,,81.0021,88.4155,995,Total,Total,Total,Total,Total,"(39.290385, -76.612189)",C02,C13,H38,113,S1,R1,G1,BA,I1,Local,P1
2017,LO,"Los Angeles, CA",YRBSS,Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,0.7118,,,0.3146,1.6024,Did not currently frequently smoke cigars,99.2882,,,98.3976,99.6854,1381,Total,Total,Total,Total,Total,"(34.052234, -118.243685)",C02,C13,QNFRCGR,100,S1,R1,G1,LO,I1,Local,P1
2015,KY,Kentucky,YRBSS,Tobacco Use,Other Tobacco Use,Current daily cigar use,Currently smoked cigars daily,"cigars, cigarillos, or little cigars, on all 30 days during the 30 days before the survey",%,Percentage,1.0518,,,0.5516,1.9963,Did not currently smoke cigars daily,98.9482,,,98.0037,99.4484,2562,Total,Total,Total,Total,Total,"(37.645970271, -84.774971048)",C02,C13,QNDAYCGR,21,S1,R1,G1,KY,I1,State,P1
2017,KS,Kansas,YRBSS,Tobacco Use,Other Tobacco Use,Current cigar use,Currently smoked cigars,"cigars, cigarillos, or little cigars, on at least 1 day during the 30 days before the survey",%,Percentage,7.5599,,,6.1783,9.2199,Did not currently smoke cigars,92.4401,,,90.7801,93.8217,2389,Total,Total,Total,Total,Total,"(38.3477403, -98.200781227)",C02,C13,H38,20,S1,R1,G1,KS,I1,State,P1
2017,DKC,"DeKalb County, GA",YRBSS,Tobacco Use,Other Tobacco Use,Current cigar use,Currently smoked cigars,"cigars, cigarillos, or little cigars, on at least 1 day during the 30 days before the survey",%,Percentage,7.4973,,,6.0283,9.2889,Did not currently smoke cigars,92.5027,,,90.7111,93.9717,1854,Total,Total,Total,Total,Total,"(33.795644, -84.22788)",C02,C13,H38,111,S1,R1,G1,DKC,I1,Local,P1
2015,MI,Michigan,YRBSS,Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,0.8076,,,0.4806,1.354,Did not currently frequently smoke cigars,99.1924,,,98.646,99.5194,4783,Total,Total,Total,Total,Total,"(44.661319543001, -84.71439027)",C02,C13,QNFRCGR,26,S1,R1,G1,MI,I1,State,P1
2015,NYJ,"Borough of Queens, NY",YRBSS,Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,0.571,,,0.2975,1.0929,Did not currently frequently smoke cigars,99.429,,,98.9071,99.7025,1529,Total,Total,Total,Total,Total,"(40.728224, -73.794852)",C02,C13,QNFRCGR,119,S1,R1,G1,NYJ,I1,Local,P1
2017,MA,Massachusetts,YRBSS,Tobacco Use,Other Tobacco Use,Current daily cigar use,Currently smoked cigars daily,"cigars, cigarillos, or little cigars, on all 30 days during the 30 days before the survey",%,Percentage,0.5923,,,0.3385,1.0345,Did not currently smoke cigars daily,99.4077,,,98.9655,99.6615,3229,Total,Total,Total,Total,Total,"(42.27687047, -72.082690675)",C02,C13,QNDAYCGR,25,S1,R1,G1,MA,I1,State,P1
2015,PR,Puerto Rico,YRBSS,Tobacco Use,Other Tobacco Use,Current daily cigar use,Currently smoked cigars daily,"cigars, cigarillos, or little cigars, on all 30 days during the 30 days before the survey",%,Percentage,0.7981,,,0.4316,1.4711,Did not currently smoke cigars daily,99.2019,,,98.5289,99.5684,1608,Total,Total,Total,Total,Total,"(18.220833, -66.590149)",C02,C13,QNDAYCGR,72,S1,R1,G1,PR,I1,Territory,P1
2017,DT,"Detroit, MI",YRBSS,Tobacco Use,Other Tobacco Use,Current daily cigar use,Currently smoked cigars daily,"cigars, cigarillos, or little cigars, on all 30 days during the 30 days before the survey",%,Percentage,0.4928,,,0.2003,1.2072,Did not currently smoke cigars daily,99.5072,,,98.7928,99.7997,1408,Total,Total,Total,Total,Total,"(42.331427, -83.045754)",C02,C13,QNDAYCGR,115,S1,R1,G1,DT,I1,Local,P1
2017,MP,Northern Mariana Islands,YRBSS,Tobacco Use,Other Tobacco Use,Current daily cigar use,Currently smoked cigars daily,"cigars, cigarillos, or little cigars, on all 30 days during the 30 days before the survey",%,Percentage,0.6761,,,0.4026,1.1333,Did not currently smoke cigars daily,99.3239,,,98.8667,99.5974,1906,Total,Total,Total,Total,Total,"(15.0979, 145.6739)",C02,C13,QNDAYCGR,203,S1,R1,G1,MP,I1,Territory,P1
2015,OA,"Oakland, CA",YRBSS,Tobacco Use,Other Tobacco Use,Current daily cigar use,Currently smoked cigars daily,"cigars, cigarillos, or little cigars, on all 30 days during the 30 days before the survey",%,Percentage,0.4943,,,0.2248,1.0836,Did not currently smoke cigars daily,99.5057,,,98.9164,99.7752,1642,Total,Total,Total,Total,Total,"(37.804364, -122.271114)",C02,C13,QNDAYCGR,101,S1,R1,G1,OA,I1,Local,P1
2015,SC,South Carolina,YRBSS,Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,1.1941,,,0.7055,2.0142,Did not currently frequently smoke cigars,98.8059,,,97.9858,99.2945,1344,Total,Total,Total,Total,Total,"(33.998821303, -81.045371207)",C02,C13,QNFRCGR,45,S1,R1,G1,SC,I1,State,P1
2017,RI,Rhode Island,YRBSS,Tobacco Use,Other Tobacco Use,Current daily cigar use,Currently smoked cigars daily,"cigars, cigarillos, or little cigars, on all 30 days during the 30 days before the survey",%,Percentage,1.0795,,,0.5912,1.963,Did not currently smoke cigars daily,98.9205,,,98.037,99.4088,2200,Total,Total,Total,Total,Total,"(41.708280193, -71.522470314)",C02,C13,QNDAYCGR,44,S1,R1,G1,RI,I1,State,P1
2015,RI,Rhode Island,YRBSS,Tobacco Use,Other Tobacco Use,Current daily cigar use,Currently smoked cigars daily,"cigars, cigarillos, or little cigars, on all 30 days during the 30 days before the survey",%,Percentage,0.9459,,,0.5461,1.6337,Did not currently smoke cigars daily,99.0541,,,98.3663,99.4539,3440,Total,Total,Total,Total,Total,"(41.708280193, -71.522470314)",C02,C13,QNDAYCGR,44,S1,R1,G1,RI,I1,State,P1
2015,WV,West Virginia,YRBSS,Tobacco Use,Other Tobacco Use,Current daily cigar use,Currently smoked cigars daily,"cigars, cigarillos, or little cigars, on all 30 days during the 30 days before the survey",%,Percentage,1.1833,,,0.785,1.7802,Did not currently smoke cigars daily,98.8167,,,98.2198,99.215,1608,Total,Total,Total,Total,Total,"(38.665510202, -80.712640135)",C02,C13,QNDAYCGR,54,S1,R1,G1,WV,I1,State,P1
2015,OL,"Orange County, FL",YRBSS,Tobacco Use,Other Tobacco Use,Current daily cigar use,Currently smoked cigars daily,"cigars, cigarillos, or little cigars, on all 30 days during the 30 days before the survey",%,Percentage,1.9149,,,1.2874,2.8394,Did not currently smoke cigars daily,98.0851,,,97.1606,98.7126,1447,Total,Total,Total,Total,Total,"(28.4845, -81.251883)",C02,C13,QNDAYCGR,109,S1,R1,G1,OL,I1,Local,P1
2015,NV,Nevada,YRBSS,Tobacco Use,Other Tobacco Use,Current cigar use,Currently smoked cigars,"cigars, cigarillos, or little cigars, on at least 1 day during the 30 days before the survey",%,Percentage,7.115,,,5.7165,8.8238,Did not currently smoke cigars,92.885,,,91.1762,94.2835,1443,Total,Total,Total,Total,Total,"(39.49324039, -117.071840564)",C02,C13,H38,32,S1,R1,G1,NV,I1,State,P1
2017,TN,Tennessee,YRBSS,Tobacco Use,Other Tobacco Use,Current daily cigar use,Currently smoked cigars daily,"cigars, cigarillos, or little cigars, on all 30 days during the 30 days before the survey",%,Percentage,1.4921,,,1.0042,2.2116,Did not currently smoke cigars daily,98.5079,,,97.7884,98.9958,2006,Total,Total,Total,Total,Total,"(35.68094058, -85.774490914)",C02,C13,QNDAYCGR,47,S1,R1,G1,TN,I1,State,P1
2015,FT,"Broward County, FL",YRBSS,Tobacco Use,Other Tobacco Use,Current cigar use,Currently smoked cigars,"cigars, cigarillos, or little cigars, on at least 1 day during the 30 days before the survey",%,Percentage,7.1355,,,5.5787,9.0848,Did not currently smoke cigars,92.8645,,,90.9152,94.4213,1402,Total,Total,Total,Total,Total,"(26.190096, -80.365865)",C02,C13,H38,106,S1,R1,G1,FT,I1,Local,P1
2015,SC,South Carolina,YRBSS,Tobacco Use,Other Tobacco Use,Current daily cigar use,Currently smoked cigars daily,"cigars, cigarillos, or little cigars, on all 30 days during the 30 days before the survey",%,Percentage,0.8998,,,0.4472,1.8022,Did not currently smoke cigars daily,99.1002,,,98.1978,99.5528,1344,Total,Total,Total,Total,Total,"(33.998821303, -81.045371207)",C02,C13,QNDAYCGR,45,S1,R1,G1,SC,I1,State,P1
2017,KY,Kentucky,YRBSS,Tobacco Use,Other Tobacco Use,Current cigar use,Currently smoked cigars,"cigars, cigarillos, or little cigars, on at least 1 day during the 30 days before the survey",%,Percentage,10.989,,,8.8679,13.5421,Did not currently smoke cigars,89.011,,,86.4579,91.1321,1956,Total,Total,Total,Total,Total,"(37.645970271, -84.774971048)",C02,C13,H38,21,S1,R1,G1,KY,I1,State,P1
2015,BO,"Boston, MA",YRBSS,Tobacco Use,Other Tobacco Use,Current cigar use,Currently smoked cigars,"cigars, cigarillos, or little cigars, on at least 1 day during the 30 days before the survey",%,Percentage,5.4287,,,4.2332,6.9373,Did not currently smoke cigars,94.5713,,,93.0627,95.7668,1639,Total,Total,Total,Total,Total,"(42.360083, -71.05888)",C02,C13,H38,114,S1,R1,G1,BO,I1,Local,P1
2017,GU,Guam,YRBSS,Tobacco Use,Other Tobacco Use,Current daily cigar use,Currently smoked cigars daily,"cigars, cigarillos, or little cigars, on all 30 days during the 30 days before the survey",%,Percentage,0.1459,,,0.0379,0.5594,Did not currently smoke cigars daily,99.8541,,,99.4406,99.9621,1182,Total,Total,Total,Total,Total,"(13.444304, 144.793731)",C02,C13,QNDAYCGR,66,S1,R1,G1,GU,I1,Territory,P1
2017,AZB,Arizona,YRBSS,Tobacco Use,Other Tobacco Use,Current cigar use,Currently smoked cigars,"cigars, cigarillos, or little cigars, on at least 1 day during the 30 days before the survey",%,Percentage,5.5436,,,3.7815,8.0582,Did not currently smoke cigars,94.4564,,,91.9418,96.2185,2089,Total,Total,Total,Total,Total,"(34.86597028, -111.763811277)",C02,C13,H38,04,S1,R1,G1,AZB,I1,State,P1
2015,KY,Kentucky,YRBSS,Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,1.7512,,,1.0185,2.995,Did not currently frequently smoke cigars,98.2488,,,97.005,98.9815,2562,Total,Total,Total,Total,Total,"(37.645970271, -84.774971048)",C02,C13,QNFRCGR,21,S1,R1,G1,KY,I1,State,P1
2017,SA,"San Diego, CA",YRBSS,Tobacco Use,Other Tobacco Use,Current cigar use,Currently smoked cigars,"cigars, cigarillos, or little cigars, on at least 1 day during the 30 days before the survey",%,Percentage,3.9373,,,3.198,4.8391,Did not currently smoke cigars,96.0627,,,95.1609,96.802,2403,Total,Total,Total,Total,Total,"(32.715738, -117.161084)",C02,C13,H38,103,S1,R1,G1,SA,I1,Local,P1
2017,FT,"Broward County, FL",YRBSS,Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,0.5324,,,0.1419,1.9752,Did not currently frequently smoke cigars,99.4676,,,98.0248,99.8581,919,Total,Total,Total,Total,Total,"(26.190096, -80.365865)",C02,C13,QNFRCGR,106,S1,R1,G1,FT,I1,Local,P1
2015,IN,Indiana,YRBSS,Tobacco Use,Other Tobacco Use,Current daily cigar use,Currently smoked cigars daily,"cigars, cigarillos, or little cigars, on all 30 days during the 30 days before the survey",%,Percentage,0.6286,,,0.2971,1.3251,Did not currently smoke cigars daily,99.3714,,,98.6749,99.7029,1909,Total,Total,Total,Total,Total,"(39.766910452, -86.149960194)",C02,C13,QNDAYCGR,18,S1,R1,G1,IN,I1,State,P1
2015,SD,South Dakota,YRBSS,Tobacco Use,Other Tobacco Use,Frequent cigar use,Currently frequently smoked cigars,"cigars, cigarillos, or little cigars, on 20 or more days during the 30 days before the survey",%,Percentage,1.4459,,,0.6246,3.3113,Did not currently frequently smoke cigars,98.5541,,,96.6887,99.3754,1294,Total,Total,Total,Total,Total,"(44.353130053, -100.373530637)",C02,C13,QNFRCGR,46,S1,R1,G1,SD,I1,State,P1
